"hole_id","mfrom","mto","minterval","Au_ppm","Ag_ppm","As_ppm","Li_ppm","S_ppm","SO2_pct","Hf_ppm","Sc_ppm","MnO_pct","classification"
LNDD001,36.8,37.75,0.95,0.24,0.3,174.0,2.7,9590.0,1.9159902,0.05,2.0,0.4441822,Mg Carbonate
LNDD001,37.75,38.6,0.85,0.09,0.05,0.5,0.05,240.0,0.047949705,0.05,1.0,0.46096814,Mg Carbonate
LNDD001,38.6,39.6,1.0,0.175,0.05,143.0,1.0,2650.0,0.52944463,0.05,1.0,0.4170664,Mg Carbonate
LNDD001,39.6,40.6,1.0,0.02,0.05,138.0,0.3,1790.0,0.3576249,0.4,0.5,0.24275073,Mg Carbonate
LNDD001,55.2,56.2,1.0,0.01,0.05,43.0,0.6,610.0,0.121872164,0.05,0.5,0.09813327,Mg Carbonate
LNDD001,56.2,57.2,1.0,0.005,0.05,33.0,0.5,500.0,0.09989522,0.05,0.5,0.07747363,Mg Carbonate
LNDD001,57.2,58.0,0.8,0.01,0.05,44.0,1.1,690.0,0.1378554,0.05,0.5,0.07321259,Mg Carbonate
LNDD001,59.0,60.0,1.0,0.005,0.05,86.0,0.4,1160.0,0.2317569,0.1,0.5,0.12912273,Mg Carbonate
LNDD001,60.0,61.15,1.15,0.02,0.1,443.0,1.0,5670.0,1.1328118,0.1,1.0,0.18593673,Mg Carbonate
LNDD001,61.15,62.15,1.0,0.005,0.05,55.0,0.3,800.0,0.15983234,0.05,0.5,0.076053284,Mg Carbonate
LNDD001,62.15,63.4,1.25,0.005,0.05,14.0,0.3,290.0,0.057939224,0.05,0.5,0.09154801,Mg Carbonate
LNDD001,63.4,64.6,1.2,0.005,0.05,23.0,0.4,540.0,0.107886836,0.05,0.5,0.13816132,Mg Carbonate
LNDD001,65.9,66.9,1.0,0.01,0.05,36.0,0.9,1100.0,0.21976948,0.05,1.0,0.17818937,Mg Carbonate
LNDD002,47.8,48.8,1.0,0.05,0.05,441.0,0.8,6190.0,1.2367028,0.1,1.0,0.21563496,Mg Carbonate
LNDD002,296.6,297.6,1.0,0.025,0.2,978.0,25.6,25200.0,5.034719,0.4,8.0,0.11453186,Mg Carbonate
LNDD005,465.1,466.1,1.0,0.005,0.9,48.0,2.5,4640.0,0.9270276,0.1,1.0,0.4351436,Mg Carbonate
LNDD005,466.1,467.1,1.0,0.005,0.3,15.0,0.9,1530.0,0.30567935,0.05,1.0,0.24791564,Mg Carbonate
LNDD005,473.95,475.0,1.05,0.005,0.05,166.0,1.6,4380.0,0.8750821,0.05,1.0,0.034863137,Mg Carbonate
LNDD005,475.0,476.0,1.0,0.005,0.05,28.0,0.7,1190.0,0.23775062,0.05,0.5,0.06456137,Mg Carbonate
LNDD005,477.0,478.0,1.0,0.005,0.2,54.0,0.8,1460.0,0.29169405,0.05,1.0,0.26341036,Mg Carbonate
LNDD005,478.0,479.0,1.0,0.005,0.2,31.0,0.8,1240.0,0.24774013,0.05,0.5,0.20917882,Mg Carbonate
BLDD001,0.8,2.1,1.3,1.25,2.8,189.0,96.9,650.0,0.12986378,0.2,2.0,0.010588064,Silicified
BLDD010,176.2,177.2,1.0,0.01,,,,,,,,,
BLDD010,177.4,178.55,1.15,0.005,,,,,,,,,
LNDD005,479.0,480.0,1.0,0.005,0.2,67.0,1.5,2860.0,0.57140064,0.05,1.0,0.15236482,Mg Carbonate
LNDD005,480.0,481.35,1.35,0.01,0.2,230.0,3.0,6310.0,1.2606776,0.1,2.0,0.18593673,Mg Carbonate
YNDD001,174.0,175.0,1.0,0.02,0.05,22.0,1.1,680.0,0.1358575,0.05,1.0,0.3305542,Mg Carbonate
YNDD001,175.0,176.0,1.0,0.01,0.05,30.0,0.9,830.0,0.16582605,0.05,1.0,0.2414595,Mg Carbonate
YNDD001,189.0,190.0,1.0,0.08,0.2,132.0,7.2,4750.0,0.94900453,0.1,2.0,0.255663,Mg Carbonate
YNDD001,190.0,191.0,1.0,0.2,0.4,85.0,9.0,3630.0,0.7252393,0.2,2.0,0.41964886,Mg Carbonate
YNDD001,191.0,192.0,1.0,0.09,0.2,70.0,6.0,2510.0,0.50147396,0.1,1.0,0.33701032,Mg Carbonate
YNDD001,192.0,192.6,0.6,0.06,0.2,98.0,10.6,3350.0,0.66929793,0.05,1.0,0.3602524,Mg Carbonate
YNDD001,196.0,197.0,1.0,0.05,0.2,103.0,7.2,3390.0,0.67728955,0.05,1.0,0.42352253,Mg Carbonate
