hole_id,mfrom,mto,minterval,Au_ppm,Ag_ppm,As_ppm,Li_ppm,S_ppm,SO2_pct,Hf_ppm,Sc_ppm,MnO_pct,classification
BLDD001,0,0.4,0.4,0.18,2,50,51.9,200,0.039958086,0.05,1,0.021176128,Silicified Carbonate
BLDD001,0.8,2.1,1.3,1.25,2.8,189,96.9,650,0.12986378,0.2,2,0.010588064,Silicified
BLDD001,2.2,2.65,0.45,0.39,1.4,178,58,390,0.07791827,0.1,1,0.024404194,Silicified Carbonate
BLDD001,2.8,3.8,1,0.05,0.3,87,2.4,230,0.0459518,0.1,1,0.037703834,Ca Carbonate
BLDD001,3.8,4.55,0.75,0.25,2,336,19.2,640,0.12786588,0.4,4,0.0693389,Ca Carbonate
BLDD001,4.7,5.4,0.7,0.1,1.2,695,5.8,160,0.03196647,0.4,4,0.06327014,Ca Carbonate
BLDD001,5.5,6,0.5,0.03,1,574,9.1,90,0.017981138,0.4,6,0.057459615,Ca Carbonate
BLDD001,6.3,7.05,0.75,0.05,0.7,166,5.6,90,0.017981138,0.1,2,0.067918554,Ca Carbonate
BLDD001,7.3,8.2,0.9,0.04,0.9,350,5.2,100,0.019979043,0.3,3,0.056426633,Ca Carbonate
BLDD001,8.3,9.3,1,0.02,0.2,182,2.8,130,0.025972756,0.2,2,0.05009962,Ca Carbonate
BLDD001,9.3,10.3,1,0.005,0.05,45,1.9,260,0.05194551,0.05,1,0.028923491,Ca Carbonate
BLDD001,10.3,11.3,1,0.005,0.1,321,3.1,140,0.02797066,0.3,4,0.036412608,Ca Carbonate
BLDD001,11.3,12.3,1,0.005,0.05,323,4.1,70,0.01398533,0.2,2,0.040415414,Ca Carbonate
BLDD001,12.3,13,0.7,0.29,0.6,283,51.8,70,0.01398533,0.2,2,0.029956473,Silicified Carbonate
BLDD001,13,14,1,0.225,0.3,184,12.9,70,0.01398533,0.05,2,0.06159154,Ca Carbonate
BLDD001,14,15,1,0.005,0.05,248,6.1,80,0.015983235,0.3,2,0.03654173,Ca Carbonate
BLDD001,15,16,1,0.005,0.05,165,4.1,90,0.017981138,0.2,1,0.040415414,Ca Carbonate
BLDD001,16,17,1,0.1,0.2,494,8.4,80,0.015983235,0.2,2,0.06391575,Ca Carbonate
BLDD001,17,18,1,0.24,0.5,355,9.4,70,0.01398533,1,3,0.06714382,Ca Carbonate
BLDD001,18,19,1,0.02,0.3,351,5.6,80,0.015983235,0.2,2,0.035766996,Ca Carbonate
BLDD001,19,20,1,0.005,0.2,310,6,70,0.01398533,0.3,3,0.033830155,Ca Carbonate
BLDD001,20,21.1,1.1,0.005,0.05,447,5.5,70,0.01398533,0.3,2,0.028923491,Ca Carbonate
BLDD001,21.1,21.7,0.6,0.005,0.05,52,1.6,70,0.01398533,0.05,1,0.021434372,Ca Carbonate
BLDD001,21.7,22.65,0.95,0.01,0.1,277,4.4,70,0.01398533,0.2,5,0.055781018,Ca Carbonate
BLDD001,22.8,23.8,1,0.04,0.05,634,6.7,3480,0.6952707,0.3,3,0.04506383,Ca Carbonate
BLDD001,23.8,24.4,0.6,0.1,0.1,83,7.4,90,0.017981138,0.05,1,0.076957144,Ca Carbonate
BLDD001,24.4,25.25,0.85,0.37,0.4,514,25.3,620,0.12387007,0.05,2,0.08702872,Silicified Carbonate
BLDD001,25.25,26,0.75,0.19,0.6,544,13.2,220,0.043953896,0.1,1,0.07928135,Ca Carbonate
BLDD001,26,27,1,1.175,0.8,241,20.2,190,0.037960183,0.05,1,0.07747363,Silicified Carbonate
BLDD001,27,27.85,0.85,0.52,18.6,115,39.4,250,0.04994761,0.05,1,0.064174,Silicified Carbonate
BLDD001,29.3,30.1,0.8,0.13,2.4,97,104,360,0.07192455,0.05,0.5,0.010975432,Silicified
BLDD001,30.1,31.15,1.05,1.755,5.5,703,95.5,500,0.09989522,0.1,1,0.02040139,Silicified
BLDD001,31.3,32,0.7,0.26,1.4,79,42.9,110,0.021976948,0.05,1,0.042997867,Silicified Carbonate
BLDD001,32,33,1,0.14,1.3,54,17.3,270,0.053943418,0.05,0.5,0.024016827,Ca Carbonate
BLDD001,33,34,1,0.02,0.05,28,2.3,80,0.015983235,0.05,0.5,0.024275074,Ca Carbonate
BLDD001,34,35,1,0.03,0.05,24,1.9,80,0.015983235,0.05,0.5,0.029569104,Ca Carbonate
BLDD001,35,36,1,0.13,0.4,50,8.5,70,0.01398533,0.05,0.5,0.030989455,Ca Carbonate
BLDD001,36,37,1,0.26,0.7,89,16.8,90,0.017981138,0.05,1,0.041319273,Silicified Carbonate
BLDD001,37,38.2,1.2,1.29,3.1,302,61,660,0.13186169,0.05,2,0.10381468,Silicified Carbonate
BLDD001,38.2,39,0.8,0.08,0.3,34,21.5,80,0.015983235,0.05,1,0.05345681,Ca Carbonate
BLDD001,39,40,1,0.14,0.3,46,13.8,80,0.015983235,0.05,1,0.08083083,Ca Carbonate
BLDD001,40,41,1,0.05,0.1,36,8,90,0.017981138,0.05,0.5,0.046225935,Ca Carbonate
BLDD001,41,42,1,0.11,0.3,43,6.7,80,0.015983235,0.05,1,0.05074523,Ca Carbonate
BLDD001,42,42.6,0.6,0.215,1.6,183,14.9,190,0.037960183,0.05,1,0.065981716,Silicified Carbonate
BLDD001,42.6,43.6,1,0.33,2.2,964,7.5,4160,0.8311282,0.4,6,0.017689815,Silicified
BLDD001,43.6,44.6,1,0.01,0.4,1570,20.9,22400,4.4753056,0.8,9,0.008263855,Silicified
BLDD001,44.6,45.6,1,0.91,2.4,1240,49,870,0.17381768,0.6,4,0.03318454,Silicified
BLDD001,45.6,46.7,1.1,0.06,0.2,39,9.1,190,0.037960183,0.05,0.5,0.076053284,Ca Carbonate
BLDD001,46.7,47.6,0.9,0.26,0.7,79,27.5,140,0.02797066,0.05,1,0.07347083,Silicified Carbonate
BLDD001,47.6,48.6,1,0.19,0.2,107,15.3,120,0.023974853,0.1,1,0.049454004,Ca Carbonate
BLDD001,48.6,49.6,1,0.04,0.05,22,4.2,120,0.023974853,0.05,0.5,0.042739622,Ca Carbonate
BLDD001,49.6,50.6,1,0.16,0.4,170,18.4,140,0.02797066,0.05,1,0.048550144,Ca Carbonate
BLDD001,50.6,51.6,1,0.08,0.1,27,8.5,90,0.017981138,0.1,0.5,0.055522773,Ca Carbonate
BLDD001,51.6,52.65,1.05,0.15,0.3,906,24.6,240,0.047949705,0.5,3,0.045322075,Ca Carbonate
BLDD001,52.8,53.8,1,0.25,0.4,101,20.7,120,0.023974853,0.05,1,0.08302592,Ca Carbonate
BLDD001,53.8,54.8,1,0.09,0.1,41,15.2,130,0.025972756,0.05,1,0.05836347,Ca Carbonate
BLDD001,54.8,55.9,1.1,0.1,0.3,59,26.2,150,0.029968565,0.05,1,0.056426633,Silicified Carbonate
BLDD001,55.9,56.8,0.9,0.02,0.05,23,4.3,100,0.019979043,0.05,0.5,0.04403085,Ca Carbonate
BLDD001,56.8,57.8,1,0.01,0.05,15,1.8,120,0.023974853,0.05,0.5,0.0312477,Ca Carbonate
BLDD001,57.8,58.8,1,0.01,0.05,12,3.6,110,0.021976948,0.1,1,0.042481378,Ca Carbonate
BLDD001,58.8,59.8,1,0.26,0.2,108,17.3,120,0.023974853,0.2,1,0.08147644,Ca Carbonate
BLDD001,59.8,60.8,1,0.04,0.05,18,6,90,0.017981138,0.4,1,0.059396453,Ca Carbonate
BLDD001,60.8,61.8,1,0.2,0.2,57,21.9,110,0.021976948,0.05,1,0.09981187,Ca Carbonate
BLDD001,61.8,63,1.2,0.02,0.05,23,3,120,0.023974853,0.05,1,0.046742428,Ca Carbonate
BLDD001,63,64.2,1.2,0.01,0.05,17,2.6,120,0.023974853,0.05,1,0.030343842,Ca Carbonate
BLDD001,64.2,65.2,1,0.01,0.2,1350,9,9690,1.9359692,0.4,5,0.034604892,Ca Carbonate
BLDD001,65.2,66,0.8,0.03,0.05,168,4.2,840,0.16782397,0.05,1,0.040028047,Ca Carbonate
BLDD001,66,67,1,0.005,0.05,25,1.9,120,0.023974853,0.05,0.5,0.03163507,Ca Carbonate
BLDD001,67,67.8,0.8,0.005,0.05,22,1.4,130,0.025972756,0.05,0.5,0.031893313,Ca Carbonate
BLDD001,67.8,69,1.2,0.08,0.1,94,21.5,330,0.06593084,0.1,1,0.040415414,Silicified Carbonate
BLDD001,69,70,1,0.07,0.05,77,13,140,0.02797066,0.05,1,0.048162777,Ca Carbonate
BLDD001,70,70.8,0.8,0.23,0.5,1670,33.4,11900,2.3775063,0.4,4,0.05526453,Silicified Carbonate
BLDD001,70.8,71.4,0.6,0.09,0.2,844,16.7,4730,0.94500875,0.2,3,0.06391575,Ca Carbonate
BLDD001,71.4,72.3,0.9,0.015,0.05,2790,7.7,26200,5.2345095,0.5,5,0.028923491,Ca Carbonate
BLDD001,72.3,73,0.7,0.005,0.05,215,2.7,1680,0.33564794,0.05,1,0.03176419,Ca Carbonate
BLDD001,73,74,1,0.005,0.05,795,6.6,7030,1.4045267,0.1,2,0.034734014,Ca Carbonate
BLDD001,74,75,1,0.01,0.1,853,68.7,34600,6.912749,1.1,10,0.04441822,Low Rhyolite
BLDD001,75,76,1,0.005,0.05,218,47.8,17000,3.3964374,0.8,8,0.043256115,Carbonate Volcanic
BLDD001,76,76.8,0.8,0.005,0.05,255,47.1,14900,2.9768775,0.7,9,0.04777541,Carbonate Volcanic
BLDD002,0.7,1.9,1.2,0.105,0.8,98,91.8,310,0.061935034,0.4,4,0.010071573,Silicified
BLDD002,1.9,2.9,1,1.895,0.7,226,99.3,190,0.037960183,0.3,4,0.005035786,Silicified
BLDD002,2.9,4.15,1.25,1.845,1,1200,64.4,340,0.06792875,0.5,8,0.13041395,Silicified
BLDD002,4.15,5,0.85,0.83,0.6,799,49.1,190,0.037960183,2,16,0.24404195,Silicified
BLDD002,5,6,1,1.25,0.9,769,67.8,170,0.033964373,1.3,11,0.1846455,Silicified
BLDD002,6,6.7,0.7,0.79,1.2,1770,39.4,200,0.039958086,1.9,15,0.22854723,Low Andesite
BLDD002,6.7,7.4,0.7,0.21,1.2,2580,30.2,140,0.02797066,2,12,0.12589467,Low Andesite
BLDD002,7.4,8.4,1,0.04,0.2,200,3.9,140,0.02797066,0.1,1,0.03266805,Ca Carbonate
BLDD002,8.4,9.4,1,0.07,0.1,86,6.6,130,0.025972756,0.05,1,0.04919576,Ca Carbonate
BLDD002,9.4,9.9,0.5,0.26,1.3,72,49.2,150,0.029968565,0.05,1,0.018981041,Silicified
BLDD002,10.5,11.1,0.6,0.32,2.1,382,79.1,200,0.039958086,0.6,6,0.08470451,Silicified
BLDD002,11.9,12.35,0.45,0.3,0.9,377,79.4,230,0.0459518,0.8,7,0.097616784,Silicified
BLDD002,14.9,15.2,0.3,0.935,1.2,1300,62.3,250,0.04994761,1,8,0.08573749,Silicified
BLDD002,16.7,18.55,1.85,0.115,0.2,75,9.2,180,0.035962276,0.05,1,0.060687684,Ca Carbonate
BLDD002,18.9,20.9,2,0.01,0.05,41,1.1,190,0.037960183,0.05,0.5,0.019626655,Ca Carbonate
BLDD002,20.9,22.4,1.5,0.005,0.05,27,0.7,140,0.02797066,0.05,0.5,0.012524905,Ca Carbonate
BLDD002,23.15,23.55,0.4,0.01,0.05,19,0.7,130,0.025972756,0.05,0.5,0.013816132,Ca Carbonate
BLDD002,23.7,25.5,1.8,0.06,0.2,25,1.8,120,0.023974853,0.05,0.5,0.019239286,Ca Carbonate
BLDD002,25.5,26.25,0.75,0.02,0.2,91,1.4,150,0.029968565,0.05,1,0.021950863,Ca Carbonate
BLDD002,27.1,27.5,0.4,0.02,0.1,19,1.6,120,0.023974853,0.05,0.5,0.019755777,Ca Carbonate
BLDD002,33.3,35.3,2,0.02,0.1,18,3.5,120,0.023974853,0.05,0.5,0.021692619,Ca Carbonate
BLDD002,35.3,37.3,2,0.005,0.1,10,2.7,120,0.023974853,0.05,0.5,0.018981041,Ca Carbonate
BLDD002,37.3,39.3,2,0.01,0.05,9,2.7,130,0.025972756,0.05,0.5,0.02130525,Ca Carbonate
BLDD002,39.3,41.3,2,0.005,0.05,12,1.8,140,0.02797066,0.05,0.5,0.015236482,Ca Carbonate
BLDD002,41.3,43.3,2,0.01,0.1,29,1.7,150,0.029968565,0.05,0.5,0.019368408,Ca Carbonate
BLDD002,43.3,45.3,2,0.005,0.05,12,0.7,140,0.02797066,0.05,0.5,0.011491923,Ca Carbonate
BLDD002,45.3,47.3,2,0.005,0.05,11,0.9,140,0.02797066,0.1,0.5,0.013299641,Ca Carbonate
BLDD002,47.3,49.3,2,0.02,0.05,13,1.4,150,0.029968565,0.05,0.5,0.015107359,Ca Carbonate
BLDD002,49.3,51.3,2,0.01,0.05,8,1.8,130,0.025972756,0.05,0.5,0.013428764,Ca Carbonate
BLDD002,51.3,53.3,2,0.005,0.05,8,0.8,130,0.025972756,0.05,0.5,0.009555082,Ca Carbonate
BLDD002,53.3,55.3,2,0.01,0.05,25,0.9,130,0.025972756,0.05,0.5,0.012654027,Ca Carbonate
BLDD002,55.3,57.3,2,0.005,0.05,45,2.2,140,0.02797066,0.05,1,0.014849114,Ca Carbonate
BLDD002,57.3,59.3,2,0.005,0.05,41,0.9,160,0.03196647,0.05,0.5,0.013299641,Ca Carbonate
BLDD002,59.3,60.3,1,0.005,0.05,16,0.9,130,0.025972756,0.05,1,0.013945255,Ca Carbonate
BLDD003GT,0,1.1,1.1,0.005,0.05,10,17,110,0.021976948,1.4,9,0.07217961,Rhyolite
BLDD003GT,2.1,3.95,1.85,0.01,0.05,11,18.7,100,0.019979043,1.1,7,0.08134732,Rhyolite
BLDD003GT,4.05,6.1,2.05,0.005,0.05,22,21.6,90,0.017981138,1.2,8,0.083671525,Silicified
BLDD003GT,6.1,7.5,1.4,0.005,0.1,20,21,610,0.121872164,1.4,8,0.09839152,Rhyolite
BLDD003GT,7.62,8.1,0.48,0.005,0.05,14,20.6,710,0.1418512,1.2,7,0.06675645,Rhyolite
BLDD003GT,8.55,10.7,2.15,0.005,0.1,27,20.7,1290,0.25772965,1.2,9,0.08160556,Rhyolite
BLDD003GT,10.7,12.4,1.7,0.005,0.1,14,20.1,1030,0.20578414,1.1,8,0.104847655,Rhyolite
BLDD003GT,12.9,14.9,2,0.005,0.1,12,25.8,360,0.07192455,1.4,10,0.06623996,Rhyolite
BLDD003GT,14.9,16.1,1.2,0.005,0.05,5,23.9,110,0.021976948,1.2,7,0.061333295,Rhyolite
BLDD003GT,16.36,18,1.64,0.005,0.05,6,23.8,110,0.021976948,1.5,8,0.07243785,Rhyolite
BLDD003GT,18,19.1,1.1,0.005,0.05,7,24.8,90,0.017981138,1.3,9,0.06959715,Rhyolite
BLDD003GT,19.7,21.7,2,0.005,0.1,9,24.7,110,0.021976948,1.4,10,0.08031434,Rhyolite
BLDD003GT,21.7,23.7,2,0.005,0.1,31,23.9,880,0.17581558,1.4,10,0.0937431,Rhyolite
BLDD003GT,23.7,25.7,2,0.005,0.05,47,26.9,1140,0.22776109,1.4,8,0.06869329,Rhyolite
BLDD003GT,25.7,26.8,1.1,0.005,0.1,19,27,1030,0.20578414,1.2,8,0.10471853,Rhyolite
BLDD003GT,27.11,28.7,1.59,0.005,0.05,6,25.3,260,0.05194551,1.5,8,0.082251176,Rhyolite
BLDD003GT,29.02,31,1.98,0.005,0.2,8,27.5,130,0.025972756,1.3,8,0.14978236,Rhyolite
BLDD003GT,31,33,2,0.005,0.2,8,28.9,110,0.021976948,1.3,8,0.0681768,Rhyolite
BLDD003GT,33,35,2,0.005,0.05,8,27.8,110,0.021976948,1.3,7,0.06197891,Rhyolite
BLDD003GT,35,36.2,1.2,0.005,0.05,7,28.5,110,0.021976948,1.2,7,0.060687684,Rhyolite
BLDD003GT,36.31,38.3,1.99,0.005,0.05,9,31.7,100,0.019979043,1.2,8,0.07308346,Rhyolite
BLDD003GT,38.3,40.7,2.4,0.005,0.3,9,34.2,90,0.017981138,1.2,7,0.07708627,Silicified
BLDD003GT,40.8,42.8,2,0.005,0.1,9,35.5,100,0.019979043,1.2,8,0.07256697,Rhyolite
BLDD003GT,42.8,43.76,0.96,0.005,0.05,7,40.8,110,0.021976948,1.2,8,0.067402065,Rhyolite
BLDD003GT,43.98,45.2,1.22,0.005,0.05,8,37.9,680,0.1358575,1.1,8,0.07992697,Rhyolite
BLDD003GT,45.2,47.2,2,0.005,0.05,46,33.5,2560,0.5114635,1.2,7,0.062237155,Rhyolite
BLDD003GT,47.2,48.5,1.3,0.005,0.05,712,15.1,39800,7.951659,2.1,17,0.047904532,Low Andesite
BLDD003GT,48.83,51,2.17,0.005,0.05,17,29.7,920,0.1838072,1.1,7,0.11039993,Low Rhyolite
BLDD003GT,51,53,2,0.005,0.05,101,28.9,1160,0.2317569,1.1,8,0.10084485,Low Rhyolite
BLDD003GT,53.4,55.7,2.3,0.005,0.05,43,29.5,870,0.17381768,1.6,8,0.11194941,Low Rhyolite
BLDD003GT,56.2,58.2,2,0.005,0.05,158,33.7,2060,0.41156828,1.2,8,0.1181473,Low Rhyolite
BLDD003GT,58.2,60.2,2,0.005,0.1,162,41.9,3220,0.6433252,1.2,9,0.103556424,Low Rhyolite
BLDD003GT,60.2,61.7,1.5,0.005,0.05,303,39.9,3680,0.7352288,1.2,9,0.10923783,Low Rhyolite
BLDD003GT,61.7,62.9,1.2,0.005,0.05,102,50,2190,0.43754104,1.4,7,0.085479245,Low Rhyolite
BLDD003GT,63.2,64.2,1,0.005,0.05,23,42.6,1520,0.30368146,1.5,8,0.10187783,Low Rhyolite
BLDD003GT,64.2,66.2,2,0.02,0.05,8,37.7,560,0.11188264,1.3,11,0.093484856,Low Andesite
BLDD003GT,66.2,67.6,1.4,0.005,0.05,63,30.3,1140,0.22776109,1.1,7,0.122408345,Low Rhyolite
BLDD003GT,67.7,69,1.3,0.005,0.05,162,42,3010,0.6013692,1.2,6,0.12163361,Low Rhyolite
BLDD003GT,69.2,70.4,1.2,0.005,0.05,79,40.4,2210,0.44153684,1,6,0.1249908,Low Rhyolite
BLDD003GT,71.1,72.45,1.35,0.005,0.1,105,40.8,5510,1.1008453,1.1,7,0.088190824,Low Rhyolite
BLDD003GT,73.05,74,0.95,0.005,0.05,1320,27.4,15800,3.156689,1.3,10,0.08418802,Low Rhyolite
BLDD003GT,74,75,1,2.125,0.2,11500,17.7,30100,6.013692,1.7,8,0.005035786,Low Andesite
BLDD003GT,75,75.65,0.65,0.59,0.1,6930,23.7,28800,5.7539644,2.2,8,0.005939645,Low Andesite
BLDD003GT,76.55,77.6,1.05,0.005,0.05,1600,34,10400,2.0778205,1.5,8,0.06985539,Low Rhyolite
BLDD003GT,77.6,78.6,1,0.005,0.05,537,37.7,6230,1.2446944,1.7,9,0.08431714,Low Rhyolite
BLDD003GT,78.6,79.2,0.6,0.005,0.05,3980,39.6,16800,3.3564792,2.1,8,0.015494727,Low Rhyolite
BLDD003GT,79.2,79.7,0.5,0.02,0.05,2490,50.4,24600,4.9148445,1.8,16,0.005423155,Low Andesite
BLDD003GT,79.88,80.9,1.02,0.03,0.05,2560,12.7,7080,1.4145162,0.3,3,0.122924834,Ca Carbonate
BLDD003GT,80.9,82.85,1.95,0.005,0.05,164,32.9,7690,1.5363884,1.1,7,0.11724344,Carbonate Volcanic
BLDD003GT,83.15,85.2,2.05,0.005,0.05,21,34.7,1610,0.3216626,1,7,0.08483363,Low Rhyolite
BLDD003GT,85.2,87.2,2,0.005,0.05,148,37.1,4040,0.80715334,0.9,8,0.14978236,Low Rhyolite
BLDD003GT,87.58,89.6,2.02,0.005,0.05,11,37.3,970,0.19379672,1.1,7,0.06714382,Low Rhyolite
BLDD003GT,89.6,92.17,2.57,0.005,0.05,52,42.3,3600,0.71924555,1,8,0.10923783,Low Rhyolite
BLDD003GT,92.65,94.07,1.42,0.005,0.1,59,46.6,4350,0.86908835,1,8,0.14849113,Low Rhyolite
BLDD003GT,94.24,96.2,1.96,0.005,0.05,15,34.5,470,0.0939015,1,7,0.08392977,Low Rhyolite
BLDD003GT,96.2,98.25,2.05,0.02,0.05,35,34.7,1960,0.39158925,1,7,0.0937431,Low Rhyolite
BLDD003GT,98.25,99.2,0.95,0.005,0.2,81,43.5,5610,1.1208243,1.3,8,0.07295434,Low Rhyolite
BLDD003GT,100.04,102,1.96,0.005,0.05,825,38.8,9530,1.9040028,1.2,8,0.06972627,Low Rhyolite
BLDD003GT,102,103,1,0.005,0.05,389,48.8,15900,3.176668,1.2,8,0.059396453,Low Rhyolite
BLDD003GT,103,103.7,0.7,0.01,0.2,2100,59.8,36200,7.232414,1.3,9,0.028019631,Low Andesite
BLDD003GT,103.7,104.53,0.83,0.005,0.05,1470,50.6,32900,6.5731053,1.5,10,0.006972627,Low Andesite
BLDD003GT,104.65,105.2,0.55,0.005,0.2,2460,20.9,51900,10.369123,1.7,10,0.010717186,Low Andesite
BLDD003GT,105.7,106.7,1,0.005,0.05,2280,32.4,39800,7.951659,1.8,10,0.0085221,Low Andesite
BLDD003GT,106.7,107.7,1,0.19,0.5,1080,42.3,39400,7.871743,1.7,10,0.015882095,Silicified
BLDD003GT,107.7,108.7,1,0.86,0.4,1520,49.3,27800,5.554174,1.4,7,0.005939645,Silicified
BLDD003GT,108.7,109.7,1,1.12,0.6,1230,62.6,23500,4.695075,0.9,6,0.005810523,Silicified
BLDD003GT,109.7,110.65,0.95,1.29,0.9,1110,54.8,24500,4.8948655,0.8,9,0.005164909,Silicified
BLDD003GT,110.75,111.85,1.1,0.92,1.8,1450,51.5,30300,6.05365,1.2,9,0.005810523,Silicified
BLDD003GT,111.85,112.85,1,1.365,1.9,1150,61.7,21600,4.3154736,0.7,8,0.005164909,Silicified
BLDD003GT,112.85,113.85,1,0.975,1.7,1430,52.3,22900,4.575201,0.9,8,0.004648418,Silicified
BLDD003GT,113.85,115.06,1.21,0.55,0.6,700,73.2,12700,2.5373385,0.6,7,0.003228068,Silicified
BLDD003GT,115.06,116.35,1.29,0.49,0.7,968,67.5,20000,3.9958086,1,10,0.0056814,Silicified
BLDD003GT,116.35,117.63,1.28,0.68,1,921,89.3,16900,3.3764584,0.5,7,0.003228068,Silicified
BLDD003GT,118.18,119,0.82,0.25,0.3,3280,91.1,34700,6.932728,0.7,8,0.005939645,Silicified
BLDD003GT,119,119.95,0.95,0.005,0.1,4590,70.3,22800,4.555222,1.4,11,0.037962083,Low Andesite
BLDD003GT,120.2,120.94,0.74,0.005,0.05,7150,65.7,30600,6.1135874,1.3,7,0.06301189,Low Rhyolite
BLDD003GT,121.42,123.4,1.98,0.005,0.05,1570,44,20200,4.0357666,1.1,8,0.06662732,Carbonate Volcanic
BLDD003GT,123.4,124.47,1.07,0.005,0.05,195,34.5,6920,1.3825498,1,8,0.10174871,Carbonate Volcanic
BLDD003GT,124.7,126.95,2.25,0.005,0.05,225,30.5,8540,1.7062103,0.8,5,0.0880617,Carbonate Volcanic
BLDD003GT,127.7,128.75,1.05,0.005,0.05,155,32.1,4590,0.9170381,1.1,7,0.14978236,Low Rhyolite
