"hole_id","distance","azimuth","dip"
YNDD001,0,0,-90
YNDD004,0,0,-90
LNDD001,0,0,-90
BLDD002,0,0,-90
BLDD001,0,0,-90
BLDD004,0,0,-90
YNDD010,0,0,-90
YNDD005,0,0,-90
YNDD006,0,0,-90
YNDD006R,0,0,-90
YNDD009,0,0,-90
YNDD012,0,0,-90
LNDD004,0,0,-90
YNDD002,0,0,-90
LNDD007,0,0,-90
LNDD003,0,0,-90
BLDD009,0,0,-90
BLDD005,0,0,-90
BLDD003GT,0,0,-90
BLDD007,0,0,-90
BLDD010,0,0,-90
YNDD007,0,0,-90
YNDD007R,0,0,-90
YNDD015,0,0,-90
YNDD014GT,0,0,-90
YNDD014GTR,0,0,-90
YNDD011,0,0,-90
LNDD005,0,0,-90
BLDD008,0,0,-90
YNDD016,0,0,-90
YNDD013,0,0,-90
LNDD006,0,0,-90
LNDD008,0,0,-90
LNDD009,0,0,-90
LNDD009R,0,0,-90
LNDD010,0,0,-90
LNDD0002GT,0,0,-90
BLDD006,25,265,-88
BLDD006,75,170,-89
LNDD003,250,95,-86
LNDD003,50,259,-90
YNDD003,25,216,-80
YNDD003,50,216,-80
YNDD003,75,216,-80
YNDD003,100,215,-79
YNDD003,125,216,-79
YNDD003,150,216,-79
YNDD003,175,215,-79
YNDD003,200,216,-78
YNDD003,225,215,-78
YNDD003,260,217,-78
YNDD003,281,217,-78
YNDD003,0,220,-80
YNDD003,15,218,-80
YNDD006,100,0,-89
YNDD006,300,0,-89
YNDD006,450,0,-89
YNDD008,100,201,-69
YNDD008,125,202,-69
YNDD008,343,202,-69
YNDD008,15,206,-68
YNDD008,50,202,-69
YNDD008,75,210,-68
YNDD008,0,205,-70
YNDD008,25,202,-69
YNDD010,221,326,-88
YNDD010,276,326,-88
BLDD006,0,0,-90
