collarid,hole_id,distance,dip,azimuth
1,ARC-043,0,-90,0
1,ARC-043,100,-90,0
2,ARC-046,0,-90,0
3,BHD-001,0,-55,90
3,BHD-001,102,-56,94
4,BHD-002,0,-60,75
4,BHD-002,119,-59,72
5,BHD-003,0,-55,180
5,BHD-003,100,-56,179
6,BHP-007,0,-65,60
6,BHP-007,174,-65,60
7,BHP-008,0,-65,90
8,BHP-008-A,0,-65,90
9,BHP-009,0,-90,0
10,BLDD001,0,-90,0
11,BLDD002,0,-90,0
12,BLDD003GT,0,-90,0
13,BLDD004,0,-90,0
14,BLDD005,0,-90,0
15,BLDD006,0,-90,0
15,BLDD006,25,-88,265
15,BLDD006,75,-89,170
16,BLDD007,0,-90,0
17,BLDD008,0,-90,0
18,BLDD009,0,-90,0
19,BLDD010,0,-90,0
20,DHGT_01,0,-90,0
20,DHGT_01,15,-89.7,115.5
20,DHGT_01,30,-89.7,294.5
20,DHGT_01,60,-89.4,185.3
20,DHGT_01,90,-89.8,296.3
20,DHGT_01,120,-89.4,261.7
20,DHGT_01,150,-89.6,11.8
21,DHGT_02,0,-90,0
21,DHGT_02,15,-89.7,349
21,DHGT_02,30,-89.5,355.8
21,DHGT_02,60,-89.5,3.7
21,DHGT_02,90,-89.8,333.9
22,DHGT_03,0,-90,0
22,DHGT_03,15,-89.8,104.7
22,DHGT_03,30,-89.5,38.4
22,DHGT_03,60,-89.6,59.5
22,DHGT_03,80,-89.1,111.8
22,DHGT_03,86,-89.9,112.4
23,DHGT_05,0,-90,0
23,DHGT_05,15,-89.8,67.2
23,DHGT_05,30,-89.7,268.1
23,DHGT_05,60,-89.7,152.8
23,DHGT_05,80,-89.6,319.8
24,DHGT_06,0,-90,0
24,DHGT_06,15,-89.4,194
24,DHGT_06,30,-89.6,209.1
24,DHGT_06,60,-89.5,209.4
24,DHGT_06,90,-89.8,251
24,DHGT_06,120,-89.8,95.5
25,HFD-020,0,-90,360
26,HFD-021,0,-90,360
27,HFD-022,0,-90,360
28,HFD-023,0,-90,360
29,HFD-024,0,-90,360
30,HFD-032,0,-90,360
31,HFD-033,0,-60,345
32,HFD-038,0,-65,40
33,HFD-039,0,-90,360
34,HFD-040,0,-90,360
35,HFD-041,0,-50,360
36,HFD-045,0,-55,160
37,HFD-046,0,-50,160
38,HFD-047,0,-90,360
39,HFD-048,0,-55,180
40,HFD-053,0,-55,180
41,HFD-054,0,-55,340
42,HFD-055,0,-55,70
43,HFD-056,0,-90,360
44,HFD-060,0,-90,360
45,HFD-068,0,-90,360
45,HFD-068,167,-89,330
46,HFD-154,0,-89,360
46,HFD-154,87.4,-88.5,180
46,HFD-154,129.2,-88,200
46,HFD-154,171.4,-88,153
47,HFD-228,0,-90,0
48,HFD-229,0,-90,0
49,HFP-251,0,-70,0
49,HFP-251,30,-68,355
49,HFP-251,70,-68,357
49,HFP-251,120,-69,357
49,HFP-251,180,-69.5,358
49,HFP-251,240,-70,358
49,HFP-251,300,-70,358
50,HFP-276,0,-90,0
51,HFP-277,0,-90,0
52,HFP-278,0,-70,270
52,HFP-278,88,-70.5,270
53,HFP-279,0,-90,0
54,HFP-280,0,-90,0
55,HFP-281,0,-70,270
55,HFP-281,61,-72,270
56,HFP-287,0,-90,0
57,HFR-178,0,-90,0
58,HFR-179,0,-90,0
59,HFR-180,0,-90,0
60,LHD-001,0,-90,0
61,LHD-002,0,-90,0
62,LHD-003,0,-90,0
63,LHD-004,0,-90,0
64,LHD-005,0,-90,0
65,LHD-006,0,-90,0
66,LHD-007,0,-90,0
67,LHD-008,0,-90,0
68,LHD-009,0,-90,0
69,LHD-010,0,-90,0
70,LHD-011,0,-90,0
71,LHD-012,0,-55,360
71,LHD-012,96,-55,0.5
72,LHD-013,0,-55,360
72,LHD-013,100.5,-56.5,359.5
73,LHD-014,0,-55,360
73,LHD-014,100,-55,360
74,LHD-015,0,-90,0
75,LHD-016,0,-90,0
76,LHD-017,0,-90,0
77,LHD-018,0,-90,0
78,LHD-019,0,-90,0
79,LHD-020,0,-90,0
80,LHD-021,0,-90,0
81,LHD-022,0,-90,0
82,LHD-023,0,-90,0
83,LHD-024,0,-75,180
84,LHD-025,0,-80,90
85,LHD-026,0,-80,180
85,LHD-026,87.4,-80,180
86,LHD-026-E,0,-80,180
87,LHD-027,0,-60,225
87,LHD-027,70.5,-60,225
88,LHD-027-E,0,-60,225
89,LHD-029,0,-60,360
90,LHD-030,0,-52.5,360
91,LHD-031,0,-60,360
92,LHD-032,0,-57,180
93,LHD-033,0,-52,180
93,LHD-033,29.1,-52.5,178
94,LHD-034,0,-70,360
94,LHD-034,80,-69,350
94,LHD-034,185,-71,353
95,LHD-035,0,-70,360
96,LHD-036,0,-60,270
97,LHD-037,0,-50,360
97,LHD-037,56.2,-47,358
98,LNDD001,0,-90,0
99,LNDD002GT,0,-90,0
100,LNDD003,0,-90,0
100,LNDD003,50,-90,259
100,LNDD003,250,-86,95
101,LNDD004,0,-90,0
102,LNDD005,0,-90,0
103,LNDD006,0,-90,0
104,LNDD007,0,-90,0
105,LNDD008,0,-90,0
106,LNDD009,0,-90,0
107,LNDD009R,0,-90,0
108,LNDD010,0,-90,0
109,LSD-001,0,-90,0
110,LSD-002,0,-90,0
111,LSP-232,0,-90,0
112,LSP-232-D,0,-90,0
113,LSP-233,0,-90,0
114,LSP-234,0,-75,200
115,LSP-234-D,0,-75,200
116,NMD-002,0,-90,0
116,NMD-002,173.5,-90,0
117,NMD-003,0,-90,0
118,NRC-049,0,-90,0
119,NRC-050,0,-90,0
120,NRC-051,0,-90,0
121,NRC-052,0,-90,0
122,NRC-053,0,-90,0
123,NRC-053-D,0,-90,0
124,NRC-054,0,-90,0
125,NRC-055,0,-90,0
126,NRC-228,0,-90,0
126,NRC-228,108,-90,0
127,NRC-229,0,-75,180
128,NRC-230,0,-70,180
129,NRC-231,0,-60,70
130,NRC-231-A,0,-60,70
130,NRC-231-A,201,-62.5,72
131,NRC-232,0,-70,70
132,NRC-233,0,-90,0
133,OFD-021,0,-55,90
133,OFD-021,20,-54,87
133,OFD-021,104.8,-58,85
134,OFD-022,0,-55,180
134,OFD-022,50,-54,185
134,OFD-022,75.1,-54,183
134,OFD-022,144.25,-55,182
134,OFD-022,183.85,-55,183
135,ORC-234,0,-90,0
136,ORP-231,0,-90,0
136,ORP-231,72,-90,0
137,SPE_001,0,-90,0
137,SPE_001,15,-90,0
137,SPE_001,30,-90,0
137,SPE_001,60,-90,0
138,SPE_002,0,-90,0
138,SPE_002,15,-90,0
138,SPE_002,30,-90,0
139,SPE_003,0,-90,0
139,SPE_003,15,-90,0
139,SPE_003,30,-90,0
140,THN_002,0,-90,0
140,THN_002,15,-90,235.2
140,THN_002,30,-89.5,139.4
140,THN_002,50,-89.7,153.1
141,THN_003,0,-90,0
141,THN_003,15,-90,299.6
141,THN_003,30,-89.8,78.8
141,THN_003,60,-89.3,357.2
141,THN_003,80,-90,358.5
142,THN_004,0,-90,0
142,THN_004,15,-89.4,349.5
142,THN_004,30,-89.8,346.3
142,THN_004,60,-89.4,352.2
142,THN_004,90,-89.1,52.3
143,THN_005,0,-90,0
143,THN_005,15,-90,144.9
143,THN_005,30,-90,302.1
143,THN_005,60,-89.6,179.4
143,THN_005,90,-89.8,209.8
144,THN_007,0,-90,0
144,THN_007,15,-89.4,120.8
144,THN_007,30,-90,23.9
144,THN_007,60,-89.4,37.5
144,THN_007,90,-89.4,99.6
144,THN_007,120,-90,293.8
144,THN_007,150,-89.4,23.4
144,THN_007,180,-89.7,50.4
144,THN_007,200,-89.4,351.5
145,THN_009,0,-90,0
145,THN_009,15,-89.4,51.8
145,THN_009,30,-89.7,266.7
145,THN_009,60,-89.4,9.2
145,THN_009,80,-89.4,326.3
146,THN_010,0,-90,0
146,THN_010,15,-89.7,172.4
146,THN_010,30,-89.8,165.2
146,THN_010,60,-89.8,8.9
146,THN_010,90,-90,69.2
147,THN_011,0,-90,0
147,THN_011,15,-89.6,135.9
147,THN_011,30,-89.7,311.2
147,THN_011,60,-89.7,7.1
147,THN_011,80,-89.8,176.5
148,THN_016,0,-90,0
148,THN_016,15,-90,317.7
148,THN_016,30,-90,268.6
149,THN_017,0,-90,0
149,THN_017,15,-89.6,358.8
149,THN_017,30,-90,75.1
149,THN_017,50,-89.5,71.6
150,THN_018,0,-90,0
150,THN_018,15,-89.7,212.9
150,THN_018,30,-89.7,344.5
150,THN_018,50,-89.7,344.6
151,THN_019,0,-90,0
151,THN_019,15,-89.8,130.4
151,THN_019,30,-90,22.1
151,THN_019,50,-90,56.5
152,THN_020,0,-90,0
152,THN_020,15,-89.5,91.5
152,THN_020,30,-89.7,171
152,THN_020,60,-89.5,269.9
152,THN_020,80,-89.4,290
153,THN_021,0,-90,0
153,THN_021,15,-89.8,291.4
153,THN_021,30,-89.8,97.4
153,THN_021,60,-89.6,45
153,THN_021,90,-89.8,236.5
153,THN_021,120,-90,25.4
154,THN_022,0,-90,0
154,THN_022,15,-89.6,255.2
154,THN_022,30,-90,96
154,THN_022,60,-89.5,225.4
154,THN_022,90,-89.4,256.6
154,THN_022,120,-89.5,171
154,THN_022,150,-89.5,281.6
155,THN_023,0,-90,0
155,THN_023,15,-89.8,187.6
155,THN_023,30,-90,192.2
155,THN_023,60,-90,202.2
155,THN_023,90,-90,112.8
155,THN_023,120,-89.5,38.8
155,THN_023,150,-89.7,187.2
155,THN_023,180,-90,73.1
155,THN_023,200,-90,254.3
156,THN_024,0,-90,0
156,THN_024,15,-89.7,310.9
156,THN_024,30,-90,209.1
156,THN_024,60,-89.8,127.8
156,THN_024,90,-89.4,127.9
156,THN_024,120,-89.4,343.5
156,THN_024,150,-89.5,27
156,THN_024,180,-90,229.2
156,THN_024,200,-90,229.2
157,THN_025,0,-90,0
157,THN_025,15,-89.8,332.7
157,THN_025,30,-89.8,56.8
157,THN_025,60,-90,163.6
157,THN_025,90,-89.5,148.2
157,THN_025,120,-89.4,140.6
157,THN_025,150,-90,98.3
157,THN_025,180,-90,60.3
157,THN_025,200,-89.4,227.1
158,THN_026,0,-90,0
158,THN_026,15,-89.7,141.3
158,THN_026,30,-89.3,104.6
158,THN_026,60,-89.8,50.7
158,THN_026,90,-90,197
158,THN_026,120,-89.8,246.5
158,THN_026,150,-89.6,286
158,THN_026,180,-89.6,257.9
158,THN_026,200,-89.1,0.2
159,THN_028,0,-90,0
159,THN_028,15,-89.7,158.4
159,THN_028,30,-89.6,219.9
159,THN_028,60,-90,197.9
159,THN_028,90,-89.6,68.6
159,THN_028,120,-89.6,233.7
159,THN_028,150,-89.4,284.1
159,THN_028,180,-89.6,237.8
159,THN_028,200,-89.4,290.9
160,WMC-001,0,-60,180
161,WMD-001,0,-90,0
162,WMD-002,0,-55,20
163,WMD-003,0,-55,90
164,WMD-004,0,-55,35
165,WMD-006,0,-80,180
166,WMD-011,0,-55,360
166,WMD-011,91.5,-57,357
167,WMD-012,0,-55,360
168,WMD-013,0,-90,0
169,WMD-014,0,-55,180
170,WMP-005,0,-75,0
171,WMP-006,0,-55,20
172,WMP-007,0,-55,40
173,WMP-015,0,-55,0
174,WMP-016,0,-55,180
175,WMP-017,0,-90,0
176,WMP-018,0,-55,0
177,WMP-019,0,-90,0
178,WMP-020,0,-65,330
178,WMP-020,65,-65,330
179,WMP-030,0,-60,0
180,WMP-033,0,-60,0
181,WRC-033,0,-90,0
182,WRC-035,0,-90,0
183,WRC-037,0,-90,0
184,WRC-039,0,-90,0
185,WRC-040,0,-90,0
186,WRC-040-D,0,-90,0
187,YNDD001,0,-90,0
188,YNDD002,0,-90,0
189,YNDD003,0,-80,220
189,YNDD003,15,-80,218
189,YNDD003,25,-80,216
189,YNDD003,50,-80,216
189,YNDD003,75,-80,216
189,YNDD003,100,-79,215
189,YNDD003,125,-79,216
189,YNDD003,150,-79,216
189,YNDD003,175,-79,215
189,YNDD003,200,-78,216
189,YNDD003,225,-78,215
189,YNDD003,260,-78,217
189,YNDD003,281,-78,217
190,YNDD004,0,-90,0
191,YNDD005,0,-90,0
192,YNDD006,0,-90,0
192,YNDD006,100,-89,0
192,YNDD006,300,-89,0
192,YNDD006,450,-89,0
193,YNDD006R,0,-90,0
194,YNDD007,0,-90,0
195,YNDD007R,0,-90,0
196,YNDD008,0,-70,205
196,YNDD008,15,-68,206
196,YNDD008,25,-69,202
196,YNDD008,50,-69,202
196,YNDD008,75,-68,210
196,YNDD008,100,-69,201
196,YNDD008,125,-69,202
196,YNDD008,343,-69,202
197,YNDD009,0,-90,0
198,YNDD010,0,-90,0
198,YNDD010,221,-88,326
198,YNDD010,276,-88,326
199,YNDD011,0,-90,0
200,YNDD012,0,-90,0
201,YNDD013,0,-90,0
202,YNDD014GT,0,-90,0
203,YNDD014GTR,0,-90,0
204,YNDD015,0,-90,0
205,YNDD016,0,-90,0
206,YRC-108,0,-90,0
207,YRC-109,0,-90,0
208,YRC-110,0,-90,0
209,YRC-111,0,-90,0
210,YRC-112,0,-90,0
211,YRC-113,0,-90,0
212,YRC-114,0,-90,0
213,YRC-115,0,-90,0
214,YRC-116,0,-90,0
215,YRC-117,0,-90,0
216,YRC-118,0,-90,0
217,YRC-119,0,-90,0
218,YRC-120,0,-90,0
219,YRC-121,0,-90,0
220,YRC-122,0,-90,0
221,YRC-123,0,-90,0
222,YRC-124,0,-90,0
223,YRC-125,0,-90,0
224,YRC-126,0,-90,0
225,YRC-127,0,-90,0
226,YRC-128,0,-90,0
227,YRC-129,0,-90,0
228,YRC-130,0,-90,0
229,YRC-131,0,-90,0
230,YRC-132,0,-90,0
231,YRC-133,0,-90,0
232,YRC-134,0,-90,0
233,YRC-135,0,-90,0
234,YRC-136,0,-90,0
235,YRC-137,0,-90,0
236,YRC-138,0,-90,0
237,YRC-139,0,-90,0
238,YRC-140,0,-90,0
239,YRC-141,0,-90,0
240,YRC-160,0,-70,360
241,YRC-161,0,-90,0
242,YRC-162,0,-90,0
243,YRC-163,0,-90,0
244,YRC-164,0,-90,0
245,YRC-164-A,0,-55,180
246,YRC-165,0,-90,0
247,YRC-166,0,-90,0
248,YRC-167,0,-90,0
249,YRC-168,0,-90,0
250,YRC-169,0,-90,0
251,YRC-170,0,-90,0
252,YRC-171,0,-90,0
253,YRC-172,0,-90,0
254,YRC-173,0,-90,0
255,YRC-173-A,0,-60,360
256,YRC-174,0,-90,0
257,YRC-175,0,-60,360
258,YRC-176,0,-60,360
259,YRC-177,0,-60,360
260,YRC-178,0,-90,0
261,YRC-179,0,-60,360
262,YRC-180,0,-90,0
263,YRC-181,0,-90,0
264,YRC-182,0,-90,0
265,YRC-183,0,-90,0
266,YRC-184,0,-90,0
267,YRC-185,0,-90,0
268,YRC-186,0,-90,0
269,YRC-187,0,-90,0
270,YRC-188,0,-60,180
271,YRC-189,0,-60,180
272,YRC-190,0,-90,0
273,YRC-191,0,-90,0
274,YRC-192,0,-90,0
275,YRC-193,0,-90,0
276,YRC-194,0,-90,0
277,YRC-195,0,-90,0
278,YRC-196,0,-90,0
279,YRC-197,0,-90,0
280,YRC-198,0,-90,0
281,YRC-199,0,-90,0
282,YRC-200,0,-90,0
283,YRC-201,0,-90,0
284,YRC-202,0,-90,0
285,YRC-203,0,-90,0
286,YRC-204,0,-55,180
287,YRC-205,0,-90,0
288,YRC-206,0,-90,0
289,YRC-207,0,-90,0
290,YRC-208,0,-50,180
291,YRC-209,0,-90,0
292,YRC-210,0,-80,90
293,YRC-211,0,-90,0
294,YRC-212,0,-90,0
295,YRC-213,0,-75,235
296,YRC-214,0,-90,0
297,YRC-215,0,-70,45
298,YRC-216,0,-90,0
299,YRC-217,0,-60,225
300,YRC-218,0,-70,50
301,YRC-219,0,-70,360
302,YRC-220,0,-80,180
303,YRC-221,0,-80,90
304,YRC-222,0,-60,230
305,YRC-223,0,-90,0
306,YRC-224,0,-90,0
307,YRC-225,0,-90,0
308,YRC-226,0,-80,270
309,YRC-227,0,-60,360
310,YRC-228,0,-70,50
311,YRC-229,0,-70,360
312,YRC-230,0,-75,360
313,YRC-231,0,-60,360
314,YRC-232,0,-90,0
315,YRC-233,0,-70,90
316,YRC-234,0,-75,270
317,YRC-235,0,-70,180
318,YRC-236,0,-90,0
319,YRC-237,0,-70,180
320,YRC-238,0,-90,0
321,YRC-239,0,-90,0
322,YRC-240,0,-90,0
323,YRC-241,0,-70,180
324,YRC-242,0,-70,180
325,YRC-243,0,-70,180
326,YRC-244,0,-70,180
327,YRC-246,0,-60,0
328,YRC-247,0,-90,0
329,YRC-248,0,-90,0
330,YRC-249,0,-90,0
331,YRC-250,0,-50,0
332,YRC-251,0,-90,0
333,YRC-252,0,-90,0
334,YRC-253,0,-90,0
335,YRC-254,0,-90,0
336,YRC-255,0,-90,0
337,YRC-256,0,-90,0
338,YRC-257,0,-90,0
339,YRC-258,0,-70,0
340,YRC-259,0,-50,0
341,YRC-260,0,-50,0
342,YRC-261,0,-90,0
343,YRC-262,0,-65,0
344,YRC-263,0,-50,0
345,YRC-264,0,-50,0
346,YRC-265,0,-60,0
347,YRC-266,0,-50,0
348,YRC-267,0,-90,0
349,YRC-268,0,-60,0
350,YRC-269,0,-60,0
351,YRC-270,0,-80,0
352,YRC-271,0,-60,0
353,YRC-272,0,-90,0
354,YRC-273,0,-90,0
355,YRC-274,0,-90,0
356,YRC-275,0,-60,0
357,YRC-275-A,0,-90,0
358,YRC-276,0,-90,0
358,YRC-276,50,-88,65
358,YRC-276,209,-87.5,100
359,YRC-277,0,-90,0
360,YRC-278,0,-90,0
361,YRC-279,0,-90,0
362,YRC-280,0,-90,0
363,YRC-281,0,-90,0
364,YRC-282,0,-90,0
365,YRC-283,0,-90,0
366,YRC-284,0,-90,0
367,YRC-285,0,-90,0
368,YRC-286,0,-90,0
369,YRC-287,0,-90,0
370,ZKC_001,0,-90,0
370,ZKC_001,90.95,-90,0
371,ZKC_002,0,-90,0
